resource_id,name,resource_type,canonical_url,maintainer,version_or_release,checked_at,task_fit,input,output,code_license,weights_license,data_license,commercial_rights,redistribution_rights,attribution,privacy_consent,phi_pii_risk,representation,sample_count,labels,quality_evidence,maintenance,supply_chain_risk,mobile_feasibility,cloud_feasibility,latency_size_evidence,status,permitted_use,reason,evidence_urls
osr_torchvision_027,TorchVision,framework,https://github.com/pytorch/vision,PyTorch,0.27.0,2026-07-14,vision architectures,images,tensors/models,BSD-3-Clause,n/a,n/a,yes for code,yes for code,retain notices,n/a,none,n/a,n/a,n/a,official tests/releases,maintained,official release pin required,possible,yes,not measured,accepted_for_evaluation,architecture definitions with weights=None,Pretrained weights and training data require independent review,https://github.com/pytorch/vision
osr_mobilenetv3_small_arch,MobileNetV3 Small,architecture,https://docs.pytorch.org/vision/master/models/mobilenetv3.html,PyTorch,torchvision 0.27.0,2026-07-14,FaceAtlas mobile backbone,images,feature tensors,BSD-3-Clause,none,none,yes for code,yes for code,retain notices,n/a,high if trained on faces,unknown,0,none,official implementation,maintained,release pin required,likely,yes,not measured,evaluation_candidate,uninitialized architecture only,No legitimate acne training set; do not train or activate,https://docs.pytorch.org/vision/master/models/mobilenetv3.html
osr_efficientnet_b0_arch,EfficientNet-B0,architecture,https://docs.pytorch.org/vision/master/models/efficientnet.html,PyTorch,torchvision 0.27.0,2026-07-14,FaceAtlas cloud/mobile comparison,images,feature tensors,BSD-3-Clause,none,none,yes for code,yes for code,retain notices,n/a,high if trained on faces,unknown,0,none,official implementation,maintained,release pin required,possible,yes,not measured,evaluation_candidate,uninitialized architecture only,No legitimate acne training set; do not train or activate,https://docs.pytorch.org/vision/master/models/efficientnet.html
osr_mediapipe_01035,MediaPipe,framework,https://github.com/google-ai-edge/mediapipe,Google,0.10.35,2026-07-14,capture framing/quality,camera frames,landmark/framing signals,Apache-2.0,asset-specific,n/a,yes for code,yes for code,retain notices,local capture only,high,not assessed,n/a,not lesion labels,official project,maintained,bundled asset terms require verification,yes,yes,not measured,evaluation_candidate,capture/framing readiness only,Never use or describe as lesion detection,https://github.com/google-ai-edge/mediapipe
osr_ort_rn_1243,onnxruntime-react-native,runtime,https://www.npmjs.com/package/onnxruntime-react-native,Microsoft,1.24.3,2026-07-14,local model inference,approved ONNX artifact,tensors,MIT,n/a,n/a,yes,yes,retain notice,device local,depends on model,depends on model,n/a,n/a,official runtime tests,maintained,pin package and verify transitive supply chain,requires Expo dev build,yes,not measured,evaluation_candidate,checksum-verified approved artifacts only,Requires operator parity and device latency/memory/battery tests,https://www.npmjs.com/package/onnxruntime-react-native
osr_sklearn_190,scikit-learn,framework,https://scikit-learn.org/stable/,scikit-learn developers,1.9.0,2026-07-14,interpretable baselines/calibration,tabular features,models/metrics,BSD-3-Clause,n/a,n/a,yes,yes,retain notice,deidentified governed snapshots only,depends on data,depends on cohort,n/a,n/a,official test suite,maintained,pin wheels and hashes,no,yes,not measured,accepted_for_evaluation,baseline and calibration pipelines only,No training until legitimate cohort exists,https://scikit-learn.org/stable/
osr_fastapi_01156,FastAPI,framework,https://fastapi.tiangolo.com/,FastAPI maintainers,0.115.6,2026-07-14,ML HTTP service,validated JSON,HTTP responses,MIT,n/a,n/a,yes,yes,retain notice,server only,low,n/a,n/a,n/a,repo tests,maintained,pinned dependency,no,yes,measured by service tests,accepted,current canonical ML HTTP service,Already pinned in serving requirements,https://fastapi.tiangolo.com/
osr_pydantic_2104,Pydantic,framework,https://docs.pydantic.dev/,Pydantic maintainers,2.10.4,2026-07-14,boundary validation,Python objects,validated contracts,MIT,n/a,n/a,yes,yes,retain notice,n/a,low,n/a,n/a,n/a,repo tests,maintained,pinned dependency,no,yes,not applicable,accepted,strict request/response validation,Already pinned in serving requirements,https://docs.pydantic.dev/
osr_cvat,CVAT,annotation_platform,https://github.com/cvat-ai/cvat,CVAT.ai,pin before adoption,2026-07-14,FaceAtlas annotation,private images,versioned annotations,MIT,n/a,n/a,yes,yes,retain notice,requires private deployment review,high,depends on cohort,n/a,taxonomy/QC,official project,maintained,deployment supply chain review,no,yes,not measured,evaluation_candidate,annotation workflow only,Select after privacy and operational review,https://github.com/cvat-ai/cvat
osr_labelstudio,Label Studio,annotation_platform,https://github.com/HumanSignal/label-studio,HumanSignal,pin before adoption,2026-07-14,FaceAtlas annotation,private images,versioned annotations,Apache-2.0,n/a,n/a,yes,yes,retain notices,requires private deployment review,high,depends on cohort,n/a,taxonomy/QC,official project,maintained,deployment supply chain review,no,yes,not measured,evaluation_candidate,annotation workflow only,Select after privacy and operational review,https://github.com/HumanSignal/label-studio
osr_fiftyone,FiftyOne,quality_tool,https://github.com/voxel51/fiftyone,Voxel51,pin before adoption,2026-07-14,dataset QA,private image dataset,quality views,Apache-2.0,n/a,n/a,yes,yes,retain notices,requires private processing review,high,depends on cohort,n/a,QA only,official project,maintained,dependency review,no,yes,not measured,evaluation_candidate,dataset QA only,Not a training-data licence or label source,https://github.com/voxel51/fiftyone
osr_heavy_extras,Ray/Kubernetes/Kubeflow/Feast/Convex,architecture bundle,n/a,various,n/a,2026-07-14,no measured need,n/a,n/a,various,n/a,n/a,unknown,unknown,various,n/a,varies,n/a,n/a,n/a,n/a,varies,large supply-chain and operational expansion,no,possible,n/a,rejected,none,Architecture conflict or no measured need; use existing Supabase/Cloud Run/Vertex stack,n/a
